episode,reward,arrivals,steps,deadlocks,arrival_rate
1,192.53,5,95,19,1.0
2,304.58,5,95,1,1.0
3,198.2,5,95,24,1.0
4,135.78,5,95,31,1.0
5,178.43,5,95,22,1.0
6,298.7,5,95,0,1.0
7,159.36,5,95,30,1.0
8,132.62,5,95,32,1.0
9,305.93,5,95,1,1.0
10,125.4,5,95,35,1.0
11,168.61,5,95,25,1.0
12,155.17,5,95,29,1.0
13,144.95,5,95,31,1.0
14,236.94,5,95,14,1.0
15,186.3,5,95,22,1.0
16,294.22,5,95,2,1.0
17,81.06,5,95,44,1.0
18,183.08,5,95,22,1.0
19,209.29,5,95,22,1.0
20,305.37,5,95,2,1.0
21,201.88,5,95,22,1.0
22,161.44,5,95,31,1.0
23,205.12,5,95,20,1.0
24,308.7,5,95,0,1.0
25,299.53,5,95,2,1.0
26,151.11,5,95,30,1.0
27,93.13,5,95,45,1.0
28,205.2,5,95,22,1.0
29,238.79,5,95,14,1.0
30,135.83,5,95,34,1.0
31,164.68,5,95,30,1.0
32,156.02,5,95,33,1.0
33,118.34,5,95,38,1.0
34,252.2,5,95,11,1.0
35,241.11,5,95,12,1.0
36,141.9,5,95,34,1.0
37,208.37,5,95,22,1.0
38,207.23,5,95,22,1.0
39,216.68,5,95,20,1.0
40,82.67,5,95,47,1.0
41,163.82,5,95,30,1.0
42,134.63,5,95,36,1.0
43,129.62,5,95,36,1.0
44,129.64,5,95,36,1.0
45,136.9,5,95,38,1.0
46,246.06,5,95,15,1.0
47,139.08,5,95,36,1.0
48,143.67,5,95,36,1.0
49,133.98,5,95,36,1.0
50,135.0,5,95,36,1.0
51,216.9,5,95,18,1.0
52,272.8,5,95,11,1.0
53,232.68,5,95,17,1.0
54,235.14,5,95,16,1.0
55,239.4,5,95,17,1.0
56,128.5,5,95,36,1.0
57,142.13,5,95,36,1.0
58,138.22,5,95,36,1.0
59,144.01,5,95,36,1.0
60,149.23,5,95,36,1.0
