episode,reward,arrivals,steps,deadlocks,arrival_rate
1,183.79,5,95,22,1.0
2,246.76,5,95,9,1.0
3,142.8,5,95,31,1.0
4,225.5,5,95,13,1.0
5,196.34,5,95,20,1.0
6,128.69,5,95,34,1.0
7,147.55,5,95,30,1.0
8,225.47,5,95,15,1.0
9,149.47,5,95,31,1.0
10,283.46,5,95,4,1.0
11,127.23,5,95,34,1.0
12,247.29,5,95,10,1.0
13,182.61,5,95,22,1.0
14,87.71,5,95,44,1.0
15,187.52,5,95,22,1.0
16,200.02,5,95,20,1.0
17,81.69,5,95,45,1.0
18,82.62,5,95,44,1.0
19,75.74,5,95,45,1.0
20,85.47,5,95,43,1.0
21,86.31,5,95,43,1.0
22,69.51,5,95,46,1.0
23,152.61,5,95,30,1.0
24,203.58,5,95,20,1.0
25,236.45,5,95,14,1.0
26,210.46,5,95,20,1.0
27,82.7,5,95,45,1.0
28,198.67,5,95,21,1.0
29,159.14,5,95,28,1.0
30,70.93,5,95,46,1.0
31,168.2,5,95,28,1.0
32,141.24,5,95,35,1.0
33,137.01,5,95,34,1.0
34,93.28,5,95,45,1.0
35,130.53,5,95,36,1.0
36,135.94,5,95,36,1.0
37,149.03,5,95,32,1.0
38,219.7,5,95,16,1.0
39,230.17,5,95,14,1.0
40,64.67,5,95,47,1.0
41,151.8,5,95,31,1.0
42,308.64,5,95,0,1.0
43,275.98,5,95,8,1.0
44,157.89,5,95,31,1.0
45,131.01,5,95,36,1.0
46,133.93,5,95,36,1.0
47,137.24,5,95,36,1.0
48,135.66,5,95,36,1.0
49,213.9,5,95,20,1.0
50,127.66,5,95,36,1.0
51,133.84,5,95,36,1.0
52,130.86,5,95,36,1.0
53,132.69,5,95,36,1.0
54,140.84,5,95,36,1.0
55,139.56,5,95,36,1.0
56,124.72,5,95,36,1.0
57,136.69,5,95,36,1.0
58,140.9,5,95,36,1.0
59,140.78,5,95,36,1.0
60,138.81,5,95,36,1.0
